,region,level,match,playtime_hours,damage_round,kill_death_ratio,headshot_rate,winrate,win,kast,damage_roun,kills,death,assist,acs,kad_ratio,kill_round_ratio,first_blood,flawless_round,aces,round_win,agent1,agent1_role,agent1_hours,matches1,win_rate1,win_rate1,win_rate1,k/d1,adr1,acs1,average_ddealt_round1,best_map1,map1_wr,agent2,agent2_role,agent2_hours,matches2,win_rate2,win_rate2,win_rate2,k/d2,adr2,acs2,average_ddealt_round2,best_map2,map2_wr,agent3,agent3_role,agent3_hours,matches3,win_rate3,win_rate3,win_rate3,k/d3,adr3,acs3,average_ddealt_round3,best_map3,map3_wr,weapon_name1,weapon_type1,head_rate1,body_rate1,legs_rate1,kills1,weapon_name2,weapon_type2,head_rate2,body_rate2,legs_rate2,kills2,weapon_name3,weapon_type3,head_rate3,body_rate3,legs_rate3,kills3
315,ap,689.0,204.0,111.0,143.6,1.05,16.9,50.0,102.0,73.6,2.0,3411.0,3263.0,1099.0,226.4,1.38,0.8,558.0,156.0,5.0,50.0,Yoru,Duelist,33.0,64.0,43.8,50.8,60.0,1.05,149.7,239.8,4.0,Haven,60.0,Neon,Duelist,17.0,32.0,56.2,55.6,56.2,1.09,140.2,228.0,1.0,Pearl,100.0,Tejo,Initiator,15.0,29.0,51.7,45.0,54.2,1.12,143.3,219.0,10.0,Split,80.0,Vandal,Assault Rifles,37.0,58.0,5.0,1283.0,Judge,Shotguns,9.0,79.0,12.0,562.0,Phantom,Assault Rifles,36.0,58.0,6.0,378.0
316,ap,351.0,144.0,80.0,139.8,1.09,24.6,57.6,83.0,72.7,11.0,2221.0,2040.0,813.0,213.9,1.49,0.7,253.0,127.0,1.0,53.4,Cypher,Sentinel,14.0,25.0,60.0,62.0,66.7,1.03,128.7,193.9,6.0,Split,60.0,Sova,Initiator,12.0,21.0,76.2,42.3,64.7,1.22,146.9,222.5,27.0,Lotus,80.0,Clove,Controller,9.4,18.0,50.0,48.3,60.0,1.14,155.8,243.2,8.0,Bind,75.0,Vandal,Assault Rifles,38.0,58.0,4.0,991.0,Phantom,Assault Rifles,32.0,63.0,6.0,549.0,Ghost,Sidearms,42.0,56.0,2.0,121.0
317,ap,664.0,38.0,19.0,137.0,0.98,27.5,60.5,23.0,71.4,5.0,587.0,599.0,184.0,208.0,1.29,0.7,75.0,25.0,1.0,52.7,Chamber,Sentinel,5.1,11.0,63.6,53.8,100.0,1.03,130.3,194.9,0.0,Haven,67.0,Clove,Controller,5.2,10.0,70.0,70.0,66.7,0.88,130.3,194.0,23.0,Fracture,50.0,Jett,Duelist,3.0,5.0,20.0,58.3,60.0,0.93,141.1,223.5,6.0,Pearl,50.0,Vandal,Assault Rifles,40.0,57.0,3.0,311.0,Operator,Sniper Rifles,9.0,91.0,0.0,44.0,Sheriff,Sidearms,50.0,50.0,0.0,35.0
318,ap,360.0,109.0,66.0,171.7,1.4,32.9,55.0,60.0,74.1,42.0,2232.0,1599.0,436.0,263.8,1.67,0.9,267.0,127.0,6.0,50.8,Vyse,Sentinel,24.0,39.0,61.5,55.0,76.5,1.41,171.9,265.4,44.0,Abyss,81.0,Cypher,Sentinel,20.0,34.0,52.9,55.6,75.0,1.41,167.7,259.5,40.0,Haven,75.0,Killjoy,Sentinel,15.0,26.0,50.0,,56.2,1.4,173.6,263.7,41.0,Pearl,55.0,Vandal,Assault Rifles,41.0,57.0,2.0,1351.0,Phantom,Assault Rifles,39.0,59.0,2.0,278.0,Classic,Sidearms,44.0,56.0,1.0,227.0
319,ap,248.0,180.0,95.0,138.8,1.0,30.0,57.2,103.0,71.0,0.0,2813.0,2824.0,951.0,211.5,1.33,0.7,427.0,123.0,2.0,51.6,Jett,Duelist,18.0,33.0,69.7,46.3,72.4,1.06,148.8,232.5,5.0,Pearl,100.0,Vyse,Sentinel,10.0,19.0,68.4,62.7,61.5,1.07,137.1,204.2,7.0,Abyss,100.0,Killjoy,Sentinel,9.6,18.0,61.1,70.0,60.0,1.11,148.2,224.3,15.0,Pearl,43.0,Vandal,Assault Rifles,45.0,52.0,4.0,1551.0,Phantom,Assault Rifles,41.0,55.0,4.0,264.0,Ghost,Sidearms,51.0,47.0,2.0,219.0
320,ap,224.0,228.0,127.0,139.5,0.97,26.2,51.8,118.0,70.8,4.0,3525.0,3633.0,1024.0,208.8,1.25,0.7,419.0,166.0,3.0,50.8,Iso,Duelist,35.0,65.0,63.1,58.4,69.7,1.07,153.4,227.5,11.0,Abyss,76.0,Clove,Controller,23.0,44.0,47.7,41.7,59.4,0.95,147.0,225.1,10.0,Haven,67.0,Jett,Duelist,21.0,37.0,54.1,47.7,55.9,0.96,132.3,200.4,11.0,Bind,75.0,Vandal,Assault Rifles,40.0,57.0,3.0,2344.0,Ghost,Sidearms,47.0,52.0,1.0,199.0,Sheriff,Sidearms,49.0,51.0,1.0,188.0
321,ap,254.0,42.0,23.0,169.0,1.27,26.0,64.3,27.0,71.4,33.0,805.0,633.0,179.0,261.1,1.55,0.9,117.0,39.0,0.0,53.0,Yoru,Duelist,19.0,35.0,68.6,67.6,75.0,1.35,179.6,277.3,43.0,Bind,80.0,Neon,Duelist,1.0,2.0,50.0,50.0,75.0,0.76,115.5,184.8,28.0,Fracture,50.0,Skye,Initiator,1.1,2.0,50.0,33.3,71.4,1.04,117.9,181.6,9.0,Split,100.0,Vandal,Assault Rifles,39.0,57.0,4.0,446.0,Phantom,Assault Rifles,34.0,58.0,8.0,94.0,Frenzy,Sidearms,34.0,63.0,3.0,51.0
322,ap,119.0,145.0,75.0,165.2,1.22,32.2,57.9,84.0,72.0,27.0,2626.0,2147.0,562.0,250.3,1.48,0.9,422.0,88.0,5.0,52.6,Tejo,Initiator,13.0,25.0,60.0,53.8,73.7,1.21,153.3,228.6,27.0,Abyss,100.0,Jett,Duelist,10.0,19.0,47.4,60.5,73.7,1.16,167.6,257.3,20.0,Abyss,63.0,Raze,Duelist,7.6,15.0,53.3,56.1,69.6,1.18,174.3,258.8,33.0,Split,60.0,Vandal,Assault Rifles,50.0,48.0,2.0,1410.0,Phantom,Assault Rifles,43.0,55.0,2.0,231.0,Sheriff,Sidearms,54.0,44.0,1.0,187.0
323,ap,122.0,93.0,52.0,158.7,1.16,28.3,60.2,56.0,73.1,21.0,1668.0,1434.0,510.0,236.2,1.52,0.8,133.0,55.0,3.0,53.0,Clove,Controller,12.0,24.0,58.3,53.8,75.0,1.02,169.6,251.1,7.0,Abyss,100.0,Tejo,Initiator,13.0,24.0,66.7,66.7,68.8,1.31,162.6,240.1,36.0,Pearl,80.0,Killjoy,Sentinel,9.1,16.0,68.8,59.0,64.3,1.45,175.9,260.3,53.0,Fracture,67.0,Vandal,Assault Rifles,39.0,57.0,4.0,731.0,Phantom,Assault Rifles,36.0,58.0,7.0,412.0,Ghost,Sidearms,50.0,48.0,2.0,142.0
324,ap,190.0,131.0,74.0,151.7,1.19,37.7,49.6,65.0,72.2,19.0,2329.0,1958.0,520.0,231.2,1.46,0.8,286.0,98.0,8.0,50.3,Jett,Duelist,24.0,44.0,45.5,51.1,61.1,1.24,160.5,248.6,24.0,Lotus,57.0,Tejo,Initiator,18.0,34.0,50.0,44.8,56.2,1.08,136.2,205.9,9.0,Pearl,57.0,Vyse,Sentinel,5.6,9.0,44.4,66.7,55.0,1.22,156.1,233.9,25.0,Lotus,60.0,Vandal,Assault Rifles,54.0,43.0,3.0,1001.0,Phantom,Assault Rifles,49.0,47.0,3.0,373.0,Sheriff,Sidearms,61.0,37.0,1.0,177.0
325,ap,309.0,163.0,89.0,129.4,0.98,29.8,47.9,78.0,70.8,2.0,2342.0,2397.0,698.0,192.8,1.27,0.7,256.0,138.0,6.0,50.2,Cypher,Sentinel,33.0,63.0,44.4,52.0,71.4,0.96,122.9,184.7,6.0,Split,78.0,Iso,Duelist,12.0,24.0,54.2,33.3,65.0,1.17,155.2,234.4,18.0,Haven,71.0,Fade,Initiator,10.0,20.0,55.0,43.3,56.0,0.9,115.3,162.9,6.0,Pearl,80.0,Vandal,Assault Rifles,44.0,53.0,2.0,1092.0,Phantom,Assault Rifles,38.0,58.0,4.0,458.0,Ghost,Sidearms,49.0,49.0,1.0,190.0
326,ap,289.0,299.0,159.0,145.2,1.05,26.3,53.2,159.0,73.1,3.0,5015.0,4787.0,1713.0,224.9,1.41,0.8,566.0,209.0,7.0,50.8,Clove,Controller,48.0,93.0,52.7,54.2,64.4,1.01,150.4,234.9,1.0,Fracture,64.0,Jett,Duelist,21.0,40.0,52.5,53.7,61.0,1.0,141.5,219.0,2.0,Haven,50.0,Tejo,Initiator,19.0,38.0,55.3,43.5,59.1,1.08,137.7,205.5,9.0,Pearl,63.0,Vandal,Assault Rifles,43.0,54.0,3.0,2936.0,Sheriff,Sidearms,56.0,43.0,1.0,346.0,Ghost,Sidearms,50.0,48.0,2.0,300.0
327,ap,72.0,31.0,14.0,209.7,1.85,48.6,77.4,24.0,79.0,87.0,628.0,340.0,62.0,305.7,2.03,1.1,91.0,31.0,5.0,60.9,Reyna,Duelist,13.0,30.0,80.0,80.0,100.0,1.86,210.9,307.4,86.0,Abyss,100.0,Sage,Sentinel,0.5,1.0,0.0,0.0,100.0,1.54,178.2,259.1,96.0,Abyss,0.0,,,,,,,100.0,,,,,,,Vandal,Assault Rifles,51.0,46.0,2.0,356.0,Guardian,Assault Rifles,76.0,21.0,3.0,144.0,Ghost,Sidearms,51.0,46.0,3.0,56.0
328,ap,559.0,240.0,128.0,142.1,1.0,29.0,49.6,119.0,71.5,2.0,3722.0,3728.0,1289.0,213.9,1.34,0.7,524.0,174.0,8.0,50.0,Jett,Duelist,41.0,77.0,53.2,51.0,58.5,1.05,149.0,226.2,11.0,Pearl,71.0,Clove,Controller,27.0,51.0,43.1,49.2,57.1,1.01,157.8,239.8,2.0,Lotus,60.0,Tejo,Initiator,10.0,19.0,36.8,42.9,50.0,0.84,122.0,178.3,12.0,Fracture,56.0,Vandal,Assault Rifles,42.0,55.0,4.0,2140.0,Sheriff,Sidearms,57.0,42.0,1.0,319.0,Ghost,Sidearms,48.0,50.0,1.0,252.0
329,ap,213.0,161.0,90.0,173.9,1.39,32.5,59.6,96.0,76.0,47.0,3094.0,2220.0,737.0,258.2,1.73,0.9,316.0,133.0,9.0,53.5,Cypher,Sentinel,17.0,29.0,58.6,65.4,75.0,1.4,168.2,248.0,46.0,Abyss,71.0,Reyna,Duelist,12.0,21.0,61.9,52.5,66.7,1.38,180.3,267.6,47.0,Bind,86.0,Clove,Controller,10.0,20.0,60.0,60.7,59.1,1.35,189.1,280.7,46.0,Split,100.0,Vandal,Assault Rifles,44.0,52.0,4.0,1894.0,Sheriff,Sidearms,58.0,41.0,1.0,273.0,Phantom,Assault Rifles,37.0,59.0,4.0,231.0
330,ap,317.0,134.0,79.0,236.4,1.87,50.5,50.7,68.0,80.2,100.0,3779.0,2023.0,686.0,365.5,2.21,1.3,431.0,89.0,35.0,50.9,Cypher,Sentinel,12.0,20.0,40.0,66.7,61.1,1.84,222.1,342.0,92.0,Bind,100.0,Clove,Controller,9.8,17.0,70.6,41.9,61.1,1.89,264.7,415.0,108.0,Haven,75.0,Jett,Duelist,8.5,14.0,71.4,45.5,55.0,2.08,259.3,403.7,123.0,Pearl,57.0,Vandal,Assault Rifles,60.0,38.0,2.0,2652.0,Sheriff,Sidearms,67.0,33.0,0.0,341.0,Ghost,Sidearms,67.0,32.0,1.0,230.0
331,ap,264.0,142.0,72.0,187.7,1.29,26.8,67.6,96.0,74.8,33.0,2983.0,2320.0,802.0,291.4,1.63,1.0,522.0,141.0,17.0,56.4,Clove,Controller,21.0,45.0,77.8,76.1,81.0,1.28,199.0,311.5,30.0,Abyss,85.0,Jett,Duelist,13.0,26.0,57.7,63.9,71.4,1.18,168.2,258.8,23.0,Haven,67.0,Raze,Duelist,13.0,26.0,73.1,66.7,68.4,1.35,194.9,311.0,44.0,Lotus,75.0,Vandal,Assault Rifles,45.0,51.0,4.0,1798.0,Phantom,Assault Rifles,32.0,64.0,4.0,198.0,Ghost,Sidearms,49.0,50.0,1.0,151.0
332,ap,122.0,105.0,57.0,146.0,1.01,26.7,47.6,50.0,74.1,3.0,1666.0,1652.0,799.0,222.2,1.49,0.8,154.0,77.0,3.0,49.6,Clove,Controller,30.0,56.0,58.9,54.8,63.6,1.06,160.5,244.3,8.0,Split,67.0,Brimstone,Controller,7.4,14.0,50.0,22.2,62.5,1.07,134.8,209.8,9.0,Fracture,50.0,Astra,Controller,7.7,14.0,42.9,28.6,53.3,0.96,127.6,196.3,3.0,Pearl,43.0,Vandal,Assault Rifles,37.0,58.0,5.0,911.0,Phantom,Assault Rifles,30.0,60.0,10.0,199.0,Sheriff,Sidearms,59.0,41.0,0.0,151.0
333,ap,287.0,225.0,126.0,136.1,0.97,37.8,51.6,116.0,70.9,1.0,3431.0,3524.0,1192.0,203.4,1.31,0.7,445.0,183.0,2.0,51.1,Clove,Controller,25.0,46.0,52.2,49.1,62.1,0.88,134.5,205.9,14.0,Haven,50.0,Fade,Initiator,18.0,34.0,41.2,40.5,58.3,1.01,138.2,208.3,2.0,Fracture,60.0,Sova,Initiator,15.0,26.0,46.2,53.4,55.9,0.89,125.5,184.9,8.0,Abyss,43.0,Vandal,Assault Rifles,53.0,44.0,3.0,2214.0,Sheriff,Sidearms,68.0,31.0,1.0,244.0,Ghost,Sidearms,57.0,42.0,1.0,220.0
334,ap,567.0,272.0,146.0,165.8,1.21,30.2,50.4,137.0,72.5,25.0,5206.0,4292.0,901.0,256.5,1.42,0.9,850.0,199.0,8.0,50.3,Iso,Duelist,41.0,77.0,57.1,45.2,59.0,1.31,178.6,274.0,40.0,Fracture,69.0,Jett,Duelist,32.0,60.0,48.3,20.0,55.3,1.19,157.3,249.3,19.0,Pearl,55.0,Raze,Duelist,25.0,48.0,47.9,51.2,51.4,1.12,162.7,249.7,21.0,Split,44.0,Vandal,Assault Rifles,48.0,49.0,3.0,2935.0,Phantom,Assault Rifles,37.0,60.0,3.0,433.0,Ghost,Sidearms,52.0,47.0,1.0,409.0
335,ap,502.0,333.0,191.0,160.8,1.12,34.9,49.8,166.0,67.7,17.0,6174.0,5527.0,1230.0,247.0,1.34,0.9,1275.0,265.0,20.0,50.5,Reyna,Duelist,72.0,129.0,57.4,30.8,61.2,1.23,175.2,271.1,27.0,Abyss,73.0,Cypher,Sentinel,46.0,83.0,56.6,50.8,55.1,1.13,152.7,235.1,17.0,Split,65.0,Killjoy,Sentinel,18.0,32.0,43.8,52.8,51.1,1.02,149.8,220.5,15.0,Lotus,44.0,Vandal,Assault Rifles,50.0,47.0,3.0,4273.0,Ghost,Sidearms,52.0,47.0,2.0,542.0,Sheriff,Sidearms,64.0,34.0,2.0,343.0
336,ap,112.0,126.0,65.0,134.9,0.92,24.5,60.3,76.0,68.1,13.0,1807.0,1968.0,584.0,206.5,1.21,0.7,328.0,80.0,7.0,53.9,Jett,Duelist,30.0,57.0,57.9,61.5,81.2,0.93,139.8,211.3,6.0,Split,64.0,Reyna,Duelist,11.0,23.0,65.2,61.4,72.2,1.04,144.0,226.5,5.0,Pearl,80.0,Cypher,Sentinel,6.8,13.0,23.1,88.9,63.2,0.71,116.9,172.0,31.0,Haven,25.0,Vandal,Assault Rifles,33.0,64.0,4.0,919.0,Phantom,Assault Rifles,27.0,68.0,4.0,196.0,Sheriff,Sidearms,60.0,40.0,1.0,149.0
337,ap,192.0,90.0,49.0,138.8,0.99,22.2,56.7,51.0,71.2,3.0,1356.0,1374.0,423.0,206.2,1.29,0.7,143.0,66.0,4.0,50.8,Jett,Duelist,10.0,18.0,55.6,59.0,76.9,1.0,144.4,215.4,6.0,Abyss,67.0,Cypher,Sentinel,10.0,18.0,61.1,47.6,72.7,1.14,140.6,208.4,16.0,Haven,100.0,Tejo,Initiator,7.7,14.0,64.3,60.0,57.1,0.84,121.1,174.1,8.0,Pearl,100.0,Vandal,Assault Rifles,36.0,59.0,5.0,762.0,Phantom,Assault Rifles,27.0,67.0,6.0,93.0,Sheriff,Sidearms,44.0,54.0,2.0,90.0
338,ap,744.0,140.0,78.0,146.3,1.12,32.5,55.0,77.0,72.0,8.0,2420.0,2157.0,514.0,229.7,1.36,0.8,453.0,124.0,6.0,51.6,Jett,Duelist,28.0,51.0,60.8,57.6,66.7,1.18,149.5,237.3,14.0,Pearl,78.0,Neon,Duelist,14.0,26.0,57.7,30.8,60.9,1.09,145.6,234.6,0.0,Haven,100.0,Clove,Controller,4.2,8.0,37.5,57.9,57.9,1.12,162.8,246.0,13.0,Split,67.0,Vandal,Assault Rifles,58.0,39.0,3.0,1364.0,Ghost,Sidearms,56.0,43.0,1.0,161.0,Sheriff,Sidearms,58.0,40.0,3.0,161.0
339,ap,67.0,219.0,118.0,143.4,1.04,26.7,55.7,122.0,72.6,2.0,3531.0,3386.0,1344.0,216.8,1.44,0.8,333.0,140.0,4.0,51.8,Clove,Controller,32.0,59.0,52.5,50.0,64.7,1.04,155.9,242.2,5.0,Abyss,64.0,Cypher,Sentinel,25.0,47.0,63.8,65.6,60.6,1.1,139.8,208.7,9.0,Abyss,71.0,Sova,Initiator,16.0,30.0,63.3,56.2,55.6,1.0,133.3,197.1,3.0,Haven,81.0,Vandal,Assault Rifles,36.0,60.0,4.0,1995.0,Phantom,Assault Rifles,26.0,70.0,4.0,373.0,Ghost,Sidearms,47.0,51.0,3.0,327.0
340,ap,283.0,132.0,69.0,144.9,1.01,32.4,50.8,67.0,72.5,1.0,2141.0,2126.0,860.0,222.2,1.41,0.8,232.0,101.0,5.0,50.6,Clove,Controller,20.0,38.0,60.5,61.5,75.0,1.04,158.2,245.5,1.0,Bind,86.0,Tejo,Initiator,12.0,23.0,52.2,49.1,55.0,0.99,135.5,200.3,0.0,Pearl,80.0,KAY/O,Initiator,8.6,17.0,41.2,38.5,52.2,1.04,147.9,223.2,8.0,Fracture,50.0,Vandal,Assault Rifles,52.0,45.0,3.0,1360.0,Sheriff,Sidearms,69.0,31.0,0.0,151.0,Ghost,Sidearms,60.0,39.0,1.0,131.0
341,ap,497.0,162.0,93.0,149.7,1.11,24.0,47.5,77.0,73.8,14.0,2745.0,2475.0,939.0,230.0,1.49,0.8,360.0,116.0,5.0,49.6,Tejo,Initiator,18.0,32.0,53.1,42.9,61.9,1.12,149.2,224.4,20.0,Bind,60.0,Jett,Duelist,16.0,31.0,41.9,49.1,59.1,1.17,154.6,240.1,20.0,Pearl,67.0,Clove,Controller,7.9,15.0,53.3,45.7,57.7,1.02,153.2,243.6,3.0,Bind,60.0,Vandal,Assault Rifles,41.0,56.0,3.0,1385.0,Phantom,Assault Rifles,32.0,64.0,4.0,248.0,Operator,Sniper Rifles,10.0,88.0,2.0,206.0
342,ap,724.0,227.0,121.0,153.5,1.07,23.6,54.2,123.0,69.6,10.0,3879.0,3612.0,1079.0,234.5,1.37,0.8,623.0,156.0,5.0,50.4,Iso,Duelist,49.0,94.0,56.4,57.5,63.6,1.15,166.1,252.8,24.0,Lotus,67.0,Reyna,Duelist,24.0,45.0,64.4,40.0,62.5,1.15,158.1,240.2,17.0,Bind,74.0,Phoenix,Duelist,12.0,22.0,59.1,28.6,58.8,1.04,152.2,232.4,13.0,Haven,59.0,Vandal,Assault Rifles,31.0,65.0,4.0,2765.0,Ghost,Sidearms,41.0,57.0,2.0,321.0,Sheriff,Sidearms,55.0,45.0,1.0,247.0
343,ap,125.0,47.0,25.0,147.1,1.02,25.4,55.3,26.0,70.0,1.0,748.0,734.0,235.0,220.3,1.34,0.8,99.0,38.0,0.0,52.8,Reyna,Duelist,8.3,15.0,40.0,53.3,71.4,1.04,146.3,218.1,3.0,Abyss,75.0,Raze,Duelist,3.5,7.0,71.4,44.4,71.4,0.94,149.1,224.0,2.0,Split,100.0,Clove,Controller,1.8,4.0,75.0,75.0,60.0,1.2,172.1,260.6,10.0,Abyss,50.0,Vandal,Assault Rifles,41.0,55.0,4.0,364.0,Phantom,Assault Rifles,32.0,64.0,3.0,85.0,Ghost,Sidearms,41.0,58.0,1.0,66.0
344,ap,103.0,151.0,81.0,139.9,1.04,25.1,53.6,81.0,72.7,4.0,2292.0,2205.0,834.0,211.5,1.42,0.7,272.0,113.0,2.0,51.2,Clove,Controller,12.0,24.0,66.7,65.2,61.1,1.2,164.0,257.9,12.0,Bind,44.0,Tejo,Initiator,11.0,21.0,66.7,49.1,60.0,0.97,127.4,190.8,0.0,Fracture,80.0,Cypher,Sentinel,8.7,18.0,77.8,36.0,56.5,1.11,129.5,195.2,10.0,Split,83.0,Vandal,Assault Rifles,41.0,55.0,4.0,1068.0,Phantom,Assault Rifles,37.0,58.0,5.0,302.0,Sheriff,Sidearms,45.0,51.0,4.0,182.0
345,ap,408.0,117.0,66.0,130.2,0.93,33.6,53.8,63.0,73.2,6.0,1682.0,1809.0,744.0,194.0,1.34,0.7,180.0,84.0,2.0,51.0,Clove,Controller,18.0,32.0,68.8,59.3,70.6,1.0,150.3,225.3,3.0,Bind,67.0,Cypher,Sentinel,8.7,16.0,43.8,51.9,60.0,0.94,119.4,180.8,7.0,Pearl,50.0,Fade,Initiator,8.0,15.0,60.0,41.7,57.9,0.98,123.8,184.9,2.0,Fracture,100.0,Vandal,Assault Rifles,44.0,52.0,3.0,1126.0,Sheriff,Sidearms,60.0,37.0,3.0,167.0,Guardian,Assault Rifles,54.0,46.0,1.0,125.0
346,ap,394.0,272.0,151.0,140.2,1.0,31.9,53.3,145.0,70.3,1.0,4357.0,4367.0,1408.0,211.4,1.32,0.7,524.0,200.0,5.0,50.8,Clove,Controller,33.0,59.0,61.0,60.3,68.9,0.94,146.6,222.8,13.0,Haven,73.0,Cypher,Sentinel,23.0,43.0,51.2,55.2,63.9,0.98,124.1,189.0,7.0,Lotus,43.0,Reyna,Duelist,23.0,42.0,54.8,50.9,53.8,1.11,151.8,228.0,11.0,Haven,67.0,Vandal,Assault Rifles,48.0,49.0,3.0,2238.0,Phantom,Assault Rifles,42.0,54.0,4.0,777.0,Ghost,Sidearms,48.0,51.0,2.0,286.0
347,ap,578.0,169.0,92.0,147.1,1.03,32.9,50.9,86.0,70.7,10.0,2737.0,2649.0,1032.0,220.6,1.42,0.8,350.0,107.0,4.0,49.9,Clove,Controller,12.0,21.0,52.4,52.5,66.7,0.94,152.8,232.9,9.0,Bind,80.0,Chamber,Sentinel,11.0,21.0,47.6,53.6,62.5,1.15,155.2,238.3,20.0,Fracture,67.0,Sova,Initiator,10.0,19.0,63.2,40.0,61.5,1.06,151.3,218.7,25.0,Abyss,71.0,Vandal,Assault Rifles,47.0,50.0,3.0,1468.0,Phantom,Assault Rifles,39.0,57.0,4.0,267.0,Sheriff,Sidearms,58.0,42.0,0.0,229.0
348,ap,48.0,109.0,61.0,140.5,1.07,35.1,56.0,61.0,73.0,6.0,1778.0,1660.0,600.0,212.1,1.43,0.8,199.0,90.0,1.0,50.9,Clove,Controller,31.0,57.0,57.9,58.3,68.8,1.04,141.5,212.6,4.0,Bind,73.0,Reyna,Duelist,11.0,19.0,47.4,57.9,61.5,1.22,149.4,225.6,20.0,Fracture,71.0,Iso,Duelist,7.6,13.0,61.5,52.6,58.8,1.1,145.8,221.6,14.0,Haven,57.0,Vandal,Assault Rifles,47.0,50.0,3.0,1279.0,Sheriff,Sidearms,58.0,40.0,2.0,119.0,Guardian,Assault Rifles,48.0,47.0,5.0,100.0
349,ap,511.0,82.0,46.0,154.2,1.09,27.4,39.0,32.0,71.6,6.0,1454.0,1340.0,414.0,241.3,1.39,0.9,176.0,55.0,7.0,46.5,Clove,Controller,15.0,27.0,33.3,33.3,58.3,1.11,176.3,278.0,11.0,Pearl,50.0,Vyse,Sentinel,8.3,16.0,62.5,46.4,50.0,1.2,143.8,217.3,19.0,Abyss,67.0,Cypher,Sentinel,4.1,7.0,28.6,41.2,46.7,0.89,123.5,189.2,10.0,Haven,50.0,Vandal,Assault Rifles,40.0,56.0,3.0,961.0,Ghost,Sidearms,45.0,53.0,3.0,107.0,Sheriff,Sidearms,64.0,36.0,0.0,65.0
350,ap,626.0,195.0,106.0,134.5,0.99,25.3,51.8,101.0,70.1,5.0,3014.0,3058.0,631.0,207.3,1.19,0.7,467.0,166.0,5.0,50.6,Jett,Duelist,54.0,101.0,49.5,51.8,58.1,0.99,132.8,207.1,4.0,Haven,53.0,Reyna,Duelist,31.0,56.0,57.1,33.3,57.7,1.05,142.8,215.1,3.0,Pearl,62.0,Iso,Duelist,7.9,14.0,50.0,100.0,53.8,0.94,137.9,206.3,5.0,Abyss,44.0,Vandal,Assault Rifles,42.0,54.0,3.0,1556.0,Ghost,Sidearms,50.0,48.0,1.0,310.0,Phantom,Assault Rifles,36.0,58.0,6.0,232.0
351,ap,79.0,138.0,77.0,135.8,0.97,35.9,50.7,70.0,67.6,6.0,2191.0,2259.0,491.0,208.3,1.19,0.7,370.0,100.0,3.0,50.3,Clove,Controller,17.0,30.0,50.0,47.9,65.0,0.83,128.3,196.3,27.0,Haven,57.0,Jett,Duelist,13.0,26.0,50.0,50.0,59.1,1.1,149.5,234.4,8.0,Abyss,60.0,Chamber,Sentinel,12.0,22.0,68.2,55.3,50.0,1.19,143.8,222.2,16.0,Pearl,75.0,Vandal,Assault Rifles,51.0,47.0,3.0,1402.0,Ghost,Sidearms,51.0,47.0,2.0,169.0,Operator,Sniper Rifles,7.0,90.0,3.0,127.0
352,ap,453.0,133.0,75.0,156.4,1.18,39.6,52.6,70.0,70.2,22.0,2379.0,2010.0,554.0,240.3,1.46,0.9,332.0,120.0,7.0,50.8,Cypher,Sentinel,25.0,46.0,54.3,30.0,78.9,1.29,162.7,252.7,30.0,Bind,63.0,Killjoy,Sentinel,14.0,25.0,76.0,30.8,52.9,1.29,163.4,243.6,35.0,Lotus,69.0,Jett,Duelist,4.7,9.0,22.2,61.6,52.6,1.13,160.1,256.0,17.0,Haven,33.0,Vandal,Assault Rifles,51.0,47.0,3.0,1293.0,Phantom,Assault Rifles,48.0,49.0,3.0,342.0,Sheriff,Sidearms,73.0,26.0,1.0,221.0
353,ap,398.0,86.0,46.0,133.2,0.91,26.5,40.7,35.0,69.6,4.0,1211.0,1326.0,553.0,200.1,1.33,0.7,161.0,45.0,1.0,47.4,Sova,Initiator,17.0,32.0,43.8,40.4,55.6,0.92,135.0,198.1,6.0,Bind,63.0,Omen,Controller,5.7,11.0,45.5,36.4,42.9,1.06,141.5,223.8,5.0,Split,50.0,Cypher,Sentinel,4.7,9.0,33.3,36.8,42.9,0.9,125.5,195.6,11.0,Lotus,33.0,Vandal,Assault Rifles,38.0,59.0,4.0,637.0,Phantom,Assault Rifles,38.0,57.0,5.0,198.0,Ghost,Sidearms,52.0,48.0,0.0,64.0
354,ap,126.0,43.0,21.0,181.4,1.39,23.2,81.4,35.0,72.2,45.0,848.0,610.0,182.0,285.1,1.69,1.0,152.0,52.0,1.0,58.8,Reyna,Duelist,9.1,18.0,61.1,80.0,100.0,1.46,186.5,283.8,53.0,Split,67.0,Neon,Duelist,8.8,17.0,94.1,100.0,88.9,1.45,177.8,299.5,38.0,Lotus,100.0,Jett,Duelist,2.1,4.0,100.0,100.0,85.7,0.94,162.1,242.1,23.0,Fracture,100.0,Vandal,Assault Rifles,42.0,54.0,4.0,482.0,Judge,Shotguns,12.0,75.0,13.0,129.0,Ghost,Sidearms,46.0,51.0,3.0,75.0
